"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"075015","Carpignano Salentino","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",1878,,
"075015","Carpignano Salentino","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",1862,,
"071012","Carpino","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",2016,,
"071012","Carpino","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",1969,,
"071012","Carpino","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",2044,,
"071012","Carpino","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",2003,,
"071013","Casalnuovo Monterotaro","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",708,,
"071013","Casalnuovo Monterotaro","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",696,,
"071008","Cagnano Varano","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",3438,,
"071008","Cagnano Varano","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",3401,,
"071008","Cagnano Varano","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",3515,,
"071008","Cagnano Varano","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",3476,,
"075010","Calimera","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",3206,,
"075010","Calimera","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",3199,,
"075010","Calimera","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",3656,,
"075010","Calimera","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",3650,,
"075012","Cannole","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",830,,
"075012","Cannole","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",837,,
"075012","Cannole","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",847,,
"075012","Cannole","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",832,,
"110004","Canosa di Puglia","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",14445,,
"110004","Canosa di Puglia","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",14250,,
"110004","Canosa di Puglia","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",14903,,
"110004","Canosa di Puglia","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",14723,,
"075013","Caprarica di Lecce","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",1264,,
"075013","Caprarica di Lecce","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",1247,,
"071010","Carapelle","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",3298,,
"071010","Carapelle","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",3268,,
"071011","Carlantino","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",469,,
"071011","Carlantino","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",457,,
"071011","Carlantino","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",474,,
"071011","Carlantino","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",453,,
"075014","Carmiano","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",5760,,
"075014","Carmiano","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",5717,,
"075014","Carmiano","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",6106,,
"075014","Carmiano","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",6031,,
"073002","Carosino","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",3365,,
"073002","Carosino","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",3303,,
"073002","Carosino","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",3520,,
"073002","Carosino","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",3452,,
"074002","Carovigno","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",8583,,
"074002","Carovigno","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",8636,,
"074002","Carovigno","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",8439,,
"074002","Carovigno","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",8460,,
"071013","Casalnuovo Monterotaro","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",744,,
"071013","Casalnuovo Monterotaro","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",725,,
"071014","Casalvecchio di Puglia","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",890,,
"071014","Casalvecchio di Puglia","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",860,,
"071014","Casalvecchio di Puglia","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",900,,
"071014","Casalvecchio di Puglia","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",890,,
"072015","Casamassima","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",9598,,
"072015","Casamassima","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",9569,,
"072015","Casamassima","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",9861,,
"072015","Casamassima","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",9896,,
"075016","Casarano","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",9472,,
"075016","Casarano","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",9353,,
"075016","Casarano","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",10429,,
"075016","Casarano","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",10379,,
"072016","Cassano delle Murge","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",7264,,
"072016","Cassano delle Murge","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",7223,,
"072016","Cassano delle Murge","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",7421,,
"072016","Cassano delle Murge","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",7370,,
"072017","Castellana Grotte","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",9334,,
"072017","Castellana Grotte","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",9343,,
"072017","Castellana Grotte","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",9956,,
"072017","Castellana Grotte","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",9920,,
"073003","Castellaneta","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",8092,,
"073003","Castellaneta","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",8034,,
"073003","Castellaneta","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",8440,,
"073003","Castellaneta","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",8361,,
"071015","Castelluccio dei Sauri","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",1033,,
"071015","Castelluccio dei Sauri","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",1021,,
"071015","Castelluccio dei Sauri","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",1045,,
"071015","Castelluccio dei Sauri","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",1030,,
"071016","Castelluccio Valmaggiore","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",602,,
"071016","Castelluccio Valmaggiore","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",596,,
"071016","Castelluccio Valmaggiore","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",640,,
"071016","Castelluccio Valmaggiore","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",644,,
