;;;;;;;
Riepilogo complessivo qualita dell'aria ;;;;;;;
* Il valore fa riferimento al numero dei superamenti del PM10 nel periodo tra il 01/01/ 2019 e il 01/01/2019 ;;;;;;;
NB - Per unita di misura, valore di soglia e parametro di valutazione fare riferimento a quanto riportato sul sito web www.arpa.puglia.it - sezione aria  ;;;;;;;
Provincia: Bari ;;;;;;;
Inquinante: PM10 ;;;;;;;
;;;;;;;
NomeCentralina ;DataRilevazione ;Provincia ;Comune ;Sigla ;Valore ;Superamenti PM10* 
San Pancrazio Salentino - Deledda;2019-02-24 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;17;22
San Pancrazio Salentino - Deledda;2019-02-25 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;18;22
San Pancrazio Salentino - Deledda;2019-02-26 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;18;22
San Pancrazio Salentino - Deledda;2019-02-27 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;23;22
San Pancrazio Salentino - Deledda;2019-02-28 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;29;22
San Pancrazio Salentino - Deledda;2019-03-01 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;28;22
San Pancrazio Salentino - Deledda;2019-03-02 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;24;22
San Pancrazio Salentino - Deledda;2019-03-03 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;14;22
San Pancrazio Salentino - Deledda;2019-03-04 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;21;22
San Pancrazio Salentino - Deledda;2019-03-05 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;21;22
San Pancrazio Salentino - Deledda;2019-03-06 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;22;22
San Pancrazio Salentino - Deledda;2019-03-07 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;21;22
San Pancrazio Salentino - Deledda;2019-03-08 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;25;22
San Pancrazio Salentino - Deledda;2019-03-09 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;24;22
San Pancrazio Salentino - Deledda;2019-03-10 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;18;22
San Pancrazio Salentino - Deledda;2019-03-11 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;17;22
San Pancrazio Salentino - Deledda;2019-03-12 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;10;22
San Pancrazio Salentino - Deledda;2019-03-13 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;16;22
San Pancrazio Salentino - Deledda;2019-03-14 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;12;22
